Vatanda_lık ülkesine göre Türkiye'ye gelen ve Türkiye'den giden göç, 2016-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Immigrants and emigrants by country of citizenship, 2016-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[31 Aralık tarihi itibarıyla-As of 31 December];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yıl
Year";"Vatanda_lık ülkesi
Country of citizenship";"Türkiye'ye gelen göç
Immigrants";;;;"Türkiye'den giden göç
Emigrants";;;"Net göç
Net migration";;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Toplam
Total";"Erkek
Male";"Kadın
Female";;"Toplam
Total";"Erkek
Male";"Kadın
Female";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Toplam-Total; 739 364; 383 984; 355 380;; 287 651; 160 216; 127 435; 451 713;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Türk vatanda_ları
;Meksika-Mexico;  101;  47;  54;;  77;  29;  48;  24;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Portekiz-Portugal;  101;  67;  34;;  101;  72;  29;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Di_er ülkeler-Other countries; 2 730; 1 591; 1 139;; 2 326; 1 398;  928;  404;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Vatansız-Stateless;  63;  28;  35;;  10;  7;  3;  53;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bilinmeyen-Unknown;  9;  5;  4;;  109;  49;  60;-  100;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;Toplam-Total; 380 921; 201 631; 179 290;; 177 960; 98 240; 79 720; 202 961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Türk vatanda_ları
Turkish citizens"; 107 052; 63 202; 43 850;; 69 326; 43 820; 25 506; 37 726;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Yabancı uyruklular-Foreign nationals; 273 869; 138 429; 135 440;; 108 634; 54 420; 54 214; 165 235;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Irak-Iraq; 70 865; 38 499; 32 366;; 16 094; 9 073; 7 021; 54 771;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Afganistan-Afghanistan; 27 850; 15 445; 12 405;; 6 883; 3 960; 2 923; 20 967;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Suriye-Syria; 25 689; 16 535; 9 154;; 7 224; 4 507; 2 717; 18 465;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_ran-Iran; 15 539; 8 232; 7 307;; 5 695; 3 265; 2 430; 9 844;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Azerbaycan-Azerbaijan; 15 284; 7 565; 7 719;; 4 290; 2 474; 1 816; 10 994;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Özbekistan-Uzbekistan; 8 975; 2 437; 6 538;; 3 236;  940; 2 296; 5 739;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Almanya-Germany; 8 606; 4 124; 4 482;; 4 253; 2 048; 2 205; 4 353;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Türkmenistan-Turkmenistan; 8 394; 2 795; 5 599;; 3 555; 1 585; 1 970; 4 839;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Çin-China; 8 281; 5 563; 2 718;; 3 057; 1 993; 1 064; 5 224;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gürcistan-Georgia; 6 630; 1 584; 5 046;; 4 114;  738; 3 376; 2 516;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ukrayna-Ukraine; 6 531; 1 572; 4 959;; 3 364;  672; 2 692; 3 167;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Rusya Federasyonu-Russian Federation; 6 425; 1 862; 4 563;; 3 680; 1 191; 2 489; 2 745;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kırgızistan-Kyrgyzstan; 6 012; 1 226; 4 786;; 2 745;  853; 1 892; 3 267;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Libya-Libya; 4 344; 2 818; 1 526;; 5 197; 3 063; 2 134;-  853;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mısır-Egypt; 4 094; 2 622; 1 472;;  873;  554;  319; 3 221;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kazakistan-Kazakhstan; 3 644; 1 326; 2 318;; 2 296; 1 107; 1 189; 1 348;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Moldova-Moldova; 2 388;  498; 1 890;; 1 406;  337; 1 069;  982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Filistin-Palestine; 2 026; 1 284;  742;;  486;  325;  161; 1 540;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Yemen-Yemen; 1 839; 1 163;  676;;  438;  282;  156; 1 401;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hindistan-India; 1 769; 1 614;  155;;  418;  318;  100; 1 351;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Birle_ik Krallık-United Kingdom; 1 764;  864;  900;; 2 366; 1 165; 1 201;-  602;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Fas-Morocco; 1 763;  330; 1 433;;  643;  133;  510; 1 120;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ürdün-Jordan; 1 744; 1 183;  561;;  425;  275;  150; 1 319;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Amerika Birle_ik Devletleri
United States"; 1 663;  941;  722;; 2 953; 1 374; 1 579;- 1 290;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nijerya-Nigeria; 1 583; 1 354;  229;;  483;  384;  99; 1 100;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Avusturya-Austria; 1 532;  808;  724;;  408;  219;  189; 1 124;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bulgaristan-Bulgaria; 1 381;  385;  996;; 1 135;  428;  707;  246;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Endonezya-Indonesia; 1 161;  290;  871;;  602;  175;  427;  559;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pakistan-Pakistan; 1 113;  790;  323;;  624;  441;  183;  489;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Filipinler-Philippines; 1 005;  103;  902;;  386;  115;  271;  619;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Fransa-France;  866;  459;  407;; 1 136;  574;  562;-  270;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hollanda-Netherlands;  861;  458;  403;;  782;  406;  376;  79;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tacikistan-Tajikistan;  852;  439;  413;;  346;  232;  114;  506;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Yunanistan-Greece;  845;  441;  404;; 1 318;  619;  699;-  473;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cezayir-Algeria;  839;  384;  455;;  236;  126;  110;  603;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Suudi Arabistan-Saudi Arabia;  759;  499;  260;;  351;  265;  86;  408;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Arnavutluk-Albania;  749;  374;  375;;  281;  162;  119;  468;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Somali-Somalia;  701;  380;  321;;  793;  429;  364;-  92;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_talya-Italy;  693;  523;  170;;  993;  631;  362;-  300;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Güney Kore-South Korea;  670;  400;  270;; 1 056;  653;  403;-  386;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tunus-Tunisia;  608;  221;  387;;  234;  103;  131;  374;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lübnan-Lübnan;  596;  356;  240;;  181;  110;  71;  415;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Belarus-Belarus;  564;  67;  497;;  249;  37;  212;  315;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Romanya-Romania;  505;  198;  307;;  476;  179;  297;  29;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Etiyopya-Ethiopia;  494;  163;  331;;  242;  117;  125;  252;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ermenistan-Armenia;  466;  107;  359;;  243;  83;  160;  223;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sudan-Sudan;  442;  266;  176;;  149;  97;  52;  293;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nepal-Nepal;  397;  224;  173;;  59;  23;  36;  338;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_spanya-Spain;  391;  248;  143;;  587;  340;  247;-  196;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Makedonya-Macedonia;  386;  172;  214;;  273;  158;  115;  113;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_sveç-Sweden;  374;  168;  206;;  315;  148;  167;  59;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kanada-Canada;  366;  179;  187;;  355;  188;  167;  11;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tayland-Thailand;  366;  77;  289;;  359;  199;  160;  7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mo_olistan-Mongolia;  358;  153;  205;;  275;  158;  117;  83;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kosova-Kosovo;  341;  149;  192;;  294;  154;  140;  47;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Japonya-Japan;  340;  188;  152;;  411;  230;  181;-  71;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gana-Ghana;  326;  276;  50;;  66;  58;  8;  260;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Brezilya-Brazil;  324;  142;  182;;  168;  83;  85;  156;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Senegal-Senegal;  323;  254;  69;;  78;  55;  23;  245;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Danimarka-Denmark;  321;  174;  147;;  264;  142;  122;  57;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kamerun-Cameroon;  304;  212;  92;;  121;  87;  34;  183;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Polonya-Poland;  289;  114;  175;;  425;  158;  267;-  136;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Bosna Hersek
Bosnia and Herzegovina";  284;  101;  183;;  180;  97;  83;  104;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Vietnam-Vietnam;  280;  264;  16;;  161;  150;  11;  119;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Küba-Cuba;  248;  62;  186;;  84;  27;  57;  164;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Belçika-Belgium;  239;  118;  121;;  359;  181;  178;-  120;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Güney Afrika Cumhuriyeti
Republic of South Africa";  238;  149;  89;;  127;  63;  64;  111;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sırbistan-Serbia;  228;  116;  112;;  245;  122;  123;-  17;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Kuzey Kıbrıs Türk Cumhuriyeti
Turkish Republic Of North Cyprus";  221;  100;  121;;  398;  216;  182;-  177;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Avustralya-Australia;  220;  113;  107;;  252;  123;  129;-  32;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Norveç-Norway;  209;  92;  117;;  234;  101;  133;-  25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kuveyt-Kuwait;  200;  143;  57;;  93;  73;  20;  107;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Banglade_-Bangladesh;  187;  141;  46;;  95;  77;  18;  92;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Uganda-Uganda;  167;  76;  91;;  69;  49;  20;  98;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Çekya-Czechia;  161;  84;  77;;  258;  168;  90;-  97;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_sviçre-Switzerland;  152;  84;  68;;  106;  50;  56;  46;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Macaristan-Hungary;  146;  77;  69;;  119;  48;  71;  27;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kolombiya-Colombia;  144;  63;  81;;  114;  62;  52;  30;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mali-Mali;  140;  115;  25;;  103;  73;  30;  37;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Malezya-Malaysia;  139;  69;  70;;  146;  74;  72;-  7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Finlandiya-Finland;  138;  59;  79;;  167;  64;  103;-  29;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Litvanya-Lithuania;  127;  40;  87;;  156;  42;  114;-  29;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cibuti-Djibouti;  122;  63;  59;;  46;  31;  15;  76;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tanzanya-Tanzania;  111;  81;  30;;  81;  63;  18;  30;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Fildi_i Sahili-Ivory Coast;  107;  63;  44;;  37;  25;  12;  70;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Meksika-Mexico;  106;  50;  56;;  76;  32;  44;  30;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kenya-Kenya;  106;  63;  43;;  101;  70;  31;  5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Portekiz-Portugal;  102;  76;  26;;  221;  147;  74;-  119;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Di_er ülkeler-Other countries; 2 357; 1 491;  866;; 1 842; 1 078;  764;  515;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Vatansız-Stateless;  35;  21;  14;;  15;  8;  7;  20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bilinmeyen-Unknown;  345;  178;  167;;  304;  108;  196;  41;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaynak: TÜ_K, Uluslararası Göç _statistikleri, 2016-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Source: TurkStat, International Migration Statistics, 2016-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yabancı uyruklu nüfus kapsamında; referans tarihinde geçerli ikamet veya çalı_ma iznine sahip veya uluslararası koruma kimlik belgesi gibi ikamet izni yerine geçen kimlik belgesi olan ve referans tarihinde geçerli adres beyanı olanlar ile izinle Türk vatanda_lı_ından çıkmı_ referans tarihinde geçerli adres beyanı olan mavi kart hamili ki_iler de_erlendirilmi_tir. Kurs, turizm, bilimsel ara_tırma vb. nedenlerle 3 aydan kısa süreli vize veya ikamet iznine sahip yabancılar ile geçici koruma statüsüyle ülkede bulunan Suriyeliler nüfusa dâhil de_ildir.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Foreign population covers individuals who are holding a valid residence/work permit at the reference day or who are holding an identity document equivalent to residence permit such as international protection identity document with a valid address declaration at the reference day or who have already renounced his/her Turkish citizenship and residing in the country with a valid address declaration at the reference day. In addition to Syrians under temporary protection, foreigners holding visas or residence permits shorter than 3 months with the purpose of training, tourism, scientific research, etc. are not covered.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(1) Makedonya'nın adı Kuzey Makedonya olarak kullanılmaya ba_lanmı_tır.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(1) Macedonia's name started to be used as North Macedonia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(2) Fildi_i Sahili'nin adı Kotdivuar olarak kullanılmaya ba_lanmı_tır.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(2) Ivory Coast's name started to be used as Côte d'Ivoire.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 Gerçek sıfır veya kullanılan birimin yarısından azdır.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 True zero or magnitude less than half of the unit employed.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
